[2025-09-16 14:19:45] server started
[2025-09-16 14:19:53] WS SENS_TANQUE no_hello
[2025-09-16 14:19:54] WS SENS_TOLVA no_hello
[2025-09-16 14:20:03] WS SENS_TANQUE no_hello
[2025-09-16 14:20:04] WS SENS_TOLVA no_hello
[2025-09-16 14:20:13] WS SENS_TANQUE no_hello
[2025-09-16 14:20:15] WS SENS_TOLVA no_hello
[2025-09-16 14:20:24] WS SENS_TANQUE no_hello
[2025-09-16 14:20:25] WS SENS_TOLVA no_hello
[2025-09-16 14:20:34] WS SENS_TANQUE no_hello
[2025-09-16 14:20:36] WS SENS_TOLVA no_hello
[2025-09-16 14:20:45] WS SENS_TANQUE no_hello
[2025-09-16 14:20:46] WS SENS_TOLVA no_hello
[2025-09-16 14:20:55] WS SENS_TANQUE no_hello
[2025-09-16 14:20:56] WS SENS_TOLVA no_hello
[2025-09-16 14:21:05] WS SENS_TANQUE no_hello
[2025-09-16 14:21:07] WS SENS_TOLVA no_hello
[2025-09-16 14:21:16] WS SENS_TANQUE no_hello
[2025-09-16 14:21:17] WS SENS_TOLVA no_hello
[2025-09-16 14:21:28] WS SENS_TOLVA no_hello
[2025-09-16 14:21:28] WS SENS_TANQUE no_hello
[2025-09-16 14:21:38] WS SENS_TOLVA no_hello
[2025-09-16 14:21:39] WS SENS_TANQUE no_hello
[2025-09-16 14:21:48] WS SENS_TANQUE no_hello
[2025-09-16 14:21:48] WS SENS_TOLVA no_hello
[2025-09-16 14:21:59] WS SENS_TANQUE no_hello
[2025-09-16 14:21:59] WS SENS_TOLVA no_hello
[2025-09-16 14:22:09] WS SENS_TOLVA no_hello
[2025-09-16 14:22:10] WS SENS_TANQUE no_hello
[2025-09-16 14:22:20] WS SENS_TOLVA no_hello
[2025-09-16 14:22:30] WS SENS_TOLVA no_hello
[2025-09-16 14:22:34] WS SENS_TANQUE no_hello
[2025-09-16 14:22:41] WS SENS_TOLVA no_hello
[2025-09-16 14:22:44] WS SENS_TANQUE no_hello
[2025-09-16 14:22:51] WS SENS_TOLVA no_hello
[2025-09-16 14:22:55] WS SENS_TANQUE no_hello
[2025-09-16 14:23:01] WS SENS_TOLVA no_hello
[2025-09-16 14:23:05] WS SENS_TANQUE no_hello
[2025-09-16 14:23:12] WS SENS_TOLVA no_hello
[2025-09-16 14:23:15] WS SENS_TANQUE no_hello
[2025-09-16 14:23:22] WS SENS_TOLVA no_hello
[2025-09-16 14:23:26] WS SENS_TANQUE no_hello
[2025-09-16 14:23:33] WS SENS_TOLVA no_hello
[2025-09-16 14:23:36] WS SENS_TANQUE no_hello
[2025-09-16 14:23:43] WS SENS_TOLVA no_hello
[2025-09-16 14:23:47] WS SENS_TANQUE no_hello
[2025-09-16 14:23:53] WS SENS_TOLVA no_hello
[2025-09-16 14:23:57] WS SENS_TANQUE no_hello
[2025-09-16 14:24:04] WS SENS_TOLVA no_hello
[2025-09-16 14:24:07] WS SENS_TANQUE no_hello
[2025-09-16 14:24:14] WS SENS_TOLVA no_hello
[2025-09-16 14:24:18] WS SENS_TANQUE no_hello
[2025-09-16 14:24:25] WS SENS_TOLVA no_hello
[2025-09-16 14:24:30] WS SENS_TANQUE no_hello
[2025-09-16 14:24:35] WS SENS_TOLVA no_hello
[2025-09-16 14:24:40] WS SENS_TANQUE no_hello
[2025-09-16 14:24:46] WS SENS_TOLVA no_hello
[2025-09-16 14:24:50] WS SENS_TANQUE no_hello
[2025-09-16 14:24:56] WS SENS_TOLVA no_hello
[2025-09-16 14:25:20] WS SENS_TANQUE no_hello
[2025-09-16 14:38:20] WS SENS_TOLVA no_hello
[2025-09-16 14:38:25] WS SENS_TANQUE no_hello
[2025-09-16 14:38:30] WS SENS_TOLVA no_hello
[2025-09-16 14:38:35] WS SENS_TANQUE no_hello
[2025-09-16 14:38:41] WS SENS_TOLVA no_hello
[2025-09-16 14:38:46] WS SENS_TANQUE no_hello
[2025-09-16 14:38:51] WS SENS_TOLVA no_hello
[2025-09-16 14:38:56] WS SENS_TANQUE no_hello
[2025-09-16 14:54:29] server started
[2025-09-16 15:27:43] server started
[2025-09-16 15:27:57] pump ON ttl=30000 reason=manual
[2025-09-16 15:27:59] pump ON ttl=30000 reason=manual
[2025-09-16 15:28:31] TTL cutoff pump OFF
